node_id,bucket_type,source_path,source_type,language_hint,expected_neighbors,expected_parent,provenance_ref,model_a_top10,model_b_top10,score_a,score_b,notes,script_hint,locale_hint,translation_needed,source_exists,source_lineage,extracted_at,extractor_model,image_fingerprint,ocr_text_excerpt,extraction_quality
NODE-001,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/IMG_2581.jpg,image,en,,,prov:5d18356130d1,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:5d18356130d1,,unscored
NODE-002,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21363458_10154948160327913_117575874_o.jpg,image,en,,,prov:da92675b5e6b,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:da92675b5e6b,,unscored
NODE-003,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25371019_10155189860952913_1561726014_o.jpg,image,en,,,prov:e38396621081,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:e38396621081,,unscored
NODE-004,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/11990533_413990388794138_2317091395093831501_n.jpg,image,en,,,prov:52a4066db1c2,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:52a4066db1c2,,unscored
NODE-005,bio_field_charts,"/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Biofield Anatomy, E McKusick.jpg",image,en,,,prov:9e0ec464e35e,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:9e0ec464e35e,,unscored
NODE-006,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/Screen Shot 2017-09-03 at 9.11.11 am.png,image,en,,,prov:a1ef1cb70aec,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:a1ef1cb70aec,,unscored
NODE-007,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146633_10203820293385883_1098728975_o-1.jpg,image,en,,,prov:962869cd0277,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:962869cd0277,,unscored
NODE-008,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25346629_10155188222247913_2125987151_o.jpg,image,en,,,prov:d773f6cda808,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:d773f6cda808,,unscored
NODE-009,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/18718217_10155413068157848_71209152_n.jpg,image,en,,,prov:af8ede55de14,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:af8ede55de14,,unscored
NODE-010,bio_field_charts,"/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Biofield Anatomy 3, Eileen Mckusick.jpg",image,en,,,prov:ba96b1f339c9,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:ba96b1f339c9,,unscored
