node_id,source_path,image_fingerprint,provenance_ref,ocr_status
NODE-001,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/IMG_2581.jpg,imgfp:5d18356130d1,prov:5d18356130d1,pending
NODE-002,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21363458_10154948160327913_117575874_o.jpg,imgfp:da92675b5e6b,prov:da92675b5e6b,pending
NODE-003,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25371019_10155189860952913_1561726014_o.jpg,imgfp:e38396621081,prov:e38396621081,pending
NODE-004,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/11990533_413990388794138_2317091395093831501_n.jpg,imgfp:52a4066db1c2,prov:52a4066db1c2,pending
NODE-005,"/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Biofield Anatomy, E McKusick.jpg",imgfp:9e0ec464e35e,prov:9e0ec464e35e,pending
NODE-006,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/Screen Shot 2017-09-03 at 9.11.11 am.png,imgfp:a1ef1cb70aec,prov:a1ef1cb70aec,pending
NODE-007,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146633_10203820293385883_1098728975_o-1.jpg,imgfp:962869cd0277,prov:962869cd0277,pending
NODE-008,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25346629_10155188222247913_2125987151_o.jpg,imgfp:d773f6cda808,prov:d773f6cda808,pending
NODE-009,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/18718217_10155413068157848_71209152_n.jpg,imgfp:af8ede55de14,prov:af8ede55de14,pending
NODE-010,"/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Biofield Anatomy 3, Eileen Mckusick.jpg",imgfp:ba96b1f339c9,prov:ba96b1f339c9,pending
NODE-011,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Introducing The Biofield Viewer-page1.jpg,imgfp:36e086ee7472,prov:36e086ee7472,pending
NODE-012,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25371043_10155189860807913_593137644_o.jpg,imgfp:575ae31d4811,prov:575ae31d4811,pending
NODE-013,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25344752_10155188222172913_311737247_o.jpg,imgfp:78b926786bde,prov:78b926786bde,pending
NODE-014,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/12440577_1774777246078915_5490769812823559389_o.jpg,imgfp:c17bf81167bf,prov:c17bf81167bf,pending
NODE-015,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21390239_10154948169937913_1921212606_o.jpg,imgfp:94053ae055b5,prov:94053ae055b5,pending
NODE-016,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146922_10203820293785893_331657195_o.jpg,imgfp:e2e4e9c28800,prov:e2e4e9c28800,pending
NODE-017,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25370994_10155189860867913_1238043252_o.jpg,imgfp:32f08e66f85c,prov:32f08e66f85c,pending
NODE-018,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25346344_10155188222837913_1298576434_o.jpg,imgfp:e0d607c3232f,prov:e0d607c3232f,pending
NODE-019,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/16864485_1255373824516892_929464754599263898_n.jpg,imgfp:e968f74142bf,prov:e968f74142bf,pending
NODE-020,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/20624399_10154871771292913_1933098926_n.jpg,imgfp:7a39179ed1ad,prov:7a39179ed1ad,pending
NODE-021,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25397982_10155191902547913_1051989663_o.jpg,imgfp:f587fddfea92,prov:f587fddfea92,pending
NODE-022,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/12033082_676938482406056_2173393825446135643_n.jpg,imgfp:9a8c9c72533e,prov:9a8c9c72533e,pending
NODE-023,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/12963630_10153302478616841_2677942117444701816_n.jpg,imgfp:e9c07b702385,prov:e9c07b702385,pending
NODE-024,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146939_10203820293745892_1849862203_o.jpg,imgfp:b0367f3c016b,prov:b0367f3c016b,pending
NODE-025,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21268727_10154943498077913_1627040379_n.png,imgfp:372d3178fd17,prov:372d3178fd17,pending
NODE-026,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Chakra21.jpg,imgfp:3e172836aa5a,prov:3e172836aa5a,pending
NODE-027,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/SES-infographic-subtleenergy-1.jpg,imgfp:2ac9be92e172,prov:2ac9be92e172,pending
NODE-028,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/20624266_10154871766767913_572055730_n.jpg,imgfp:a24033b547ea,prov:a24033b547ea,pending
NODE-029,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21363175_10154948161267913_1808121624_o.jpg,imgfp:fa1d3b1a0d74,prov:fa1d3b1a0d74,pending
NODE-030,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/67761_1573488850613_1037305960_31611772_7546209_s.jpg,imgfp:53450091ec55,prov:53450091ec55,pending
NODE-031,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/13789_518435964857353_377864600_n.jpg,imgfp:1eba52972bf0,prov:1eba52972bf0,pending
NODE-032,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21329415_10154948152822913_2081738134_o.jpg,imgfp:bac9e17d0869,prov:bac9e17d0869,pending
NODE-033,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21325583_10154942520712913_225346204_n.jpg,imgfp:8935b2c61831,prov:8935b2c61831,pending
NODE-034,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21329826_10154948169402913_281946457_o.jpg,imgfp:73794cc669cd,prov:73794cc669cd,pending
NODE-035,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21299019_10154948138132913_1114110350_o.jpg,imgfp:794614089c5f,prov:794614089c5f,pending
NODE-037,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520195322.png,imgfp:4228d72c9e82,prov:4228d72c9e82,pending
NODE-038,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240305002325.png,imgfp:da29dbf91b56,prov:da29dbf91b56,pending
NODE-039,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240906142538.png,imgfp:eee1706bcbcf,prov:eee1706bcbcf,pending
NODE-040,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Books/e2ca0c409c17538f41b5fd39fa497e2a--st-thomas-walter-obrien.jpg,imgfp:88cfe9b9507a,prov:88cfe9b9507a,pending
NODE-041,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20241208205024.png,imgfp:8333a7aad71a,prov:8333a7aad71a,pending
NODE-042,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612223045.png,imgfp:2077590e8790,prov:2077590e8790,pending
NODE-043,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240828002737.png,imgfp:dc642ab8fbfb,prov:dc642ab8fbfb,pending
NODE-044,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-19 031659.png,imgfp:d58f617ceec1,prov:d58f617ceec1,pending
NODE-045,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612224016.png,imgfp:3d4b98e6eafc,prov:3d4b98e6eafc,pending
NODE-046,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921172756.png,imgfp:adbec2faa9a7,prov:adbec2faa9a7,pending
NODE-047,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240316220701.png,imgfp:6976b1c75fcc,prov:6976b1c75fcc,pending
NODE-048,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921174633.png,imgfp:05fe824b9253,prov:05fe824b9253,pending
NODE-049,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/800px-Toroidal_Transformer_Poynting_Vector.jpg,imgfp:52d6fed8cb94,prov:52d6fed8cb94,pending
NODE-050,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-21 164229.png,imgfp:5c75464b53fa,prov:5c75464b53fa,pending
NODE-051,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520195832.png,imgfp:94c5ab047c7e,prov:94c5ab047c7e,pending
NODE-052,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612224817.png,imgfp:61394345b56e,prov:61394345b56e,pending
NODE-053,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240827191449.png,imgfp:dd0e52d034c1,prov:dd0e52d034c1,pending
NODE-054,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240612214645.png,imgfp:94764d4ee5ee,prov:94764d4ee5ee,pending
NODE-055,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/HV-Sacred-Smoke-Blog-post.jpg,imgfp:8bc6eac91f3f,prov:8bc6eac91f3f,pending
NODE-056,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240324170936.png,imgfp:147c3889bdbf,prov:147c3889bdbf,pending
NODE-057,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/smudge-1.jpg,imgfp:40c8a72e6ec7,prov:40c8a72e6ec7,pending
NODE-058,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-06 142534.png,imgfp:b5bbcc6f3bf4,prov:b5bbcc6f3bf4,pending
NODE-059,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-05 102750.png,imgfp:83b1338b4dbb,prov:83b1338b4dbb,pending
NODE-060,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-09-21 165746.png,imgfp:af5edbf45ab0,prov:af5edbf45ab0,pending
NODE-061,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240906135822.png,imgfp:eb5ed2568fc7,prov:eb5ed2568fc7,pending
NODE-062,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520200336.png,imgfp:6727f4525f5c,prov:6727f4525f5c,pending
NODE-063,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240921171030.png,imgfp:526d3f76c593,prov:526d3f76c593,pending
NODE-064,/Users/sheshnarayaniyer/Documents/noesis/Research/10-14-24-165634.png,imgfp:425ad89e22b1,prov:425ad89e22b1,pending
NODE-065,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240520202620.png,imgfp:40377dd5af22,prov:40377dd5af22,pending
NODE-066,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240304200924.png,imgfp:c1749314e8eb,prov:c1749314e8eb,pending
NODE-067,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20241208204741.png,imgfp:5860a1a34ecc,prov:5860a1a34ecc,pending
NODE-068,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Smoking and rolling/Wampanoag2.jpg,imgfp:64b227960848,prov:64b227960848,pending
NODE-069,/Users/sheshnarayaniyer/Documents/noesis/Research/Pasted image 20240320133637.png,imgfp:410b2e9c6d7f,prov:410b2e9c6d7f,pending
NODE-070,/Users/sheshnarayaniyer/Documents/noesis/Research/Screenshot 2024-10-23 133154.png,imgfp:6444d50409f6,prov:6444d50409f6,pending
