node_id,bucket_type,source_path,source_type,language_hint,expected_neighbors,expected_parent,provenance_ref,model_a_top10,model_b_top10,score_a,score_b,notes,script_hint,locale_hint,translation_needed,source_exists,source_lineage,extracted_at,extractor_model,image_fingerprint,ocr_text_excerpt,extraction_quality
NODE-001,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/IMG_2581.jpg,image,en,NODE-002;NODE-003,PARENT-BIOFIELD-ROOT,prov:5d18356130d1,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:5d18356130d1,,unscored
NODE-002,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21363458_10154948160327913_117575874_o.jpg,image,en,NODE-001;NODE-003;NODE-004,PARENT-BIOFIELD-ROOT,prov:da92675b5e6b,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:da92675b5e6b,,unscored
NODE-003,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25371019_10155189860952913_1561726014_o.jpg,image,en,NODE-001;NODE-002;NODE-004;NODE-005,PARENT-BIOFIELD-ROOT,prov:e38396621081,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:e38396621081,,unscored
NODE-004,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/11990533_413990388794138_2317091395093831501_n.jpg,image,en,NODE-002;NODE-003;NODE-005;NODE-006,PARENT-BIOFIELD-ROOT,prov:52a4066db1c2,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:52a4066db1c2,,unscored
NODE-005,bio_field_charts,"/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Biofield Anatomy, E McKusick.jpg",image,en,NODE-003;NODE-004;NODE-006;NODE-007,PARENT-BIOFIELD-ROOT,prov:9e0ec464e35e,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:9e0ec464e35e,,unscored
NODE-006,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/Screen Shot 2017-09-03 at 9.11.11 am.png,image,en,NODE-004;NODE-005;NODE-007;NODE-008,PARENT-BIOFIELD-ROOT,prov:a1ef1cb70aec,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:a1ef1cb70aec,,unscored
NODE-007,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146633_10203820293385883_1098728975_o-1.jpg,image,en,NODE-005;NODE-006;NODE-008;NODE-009,PARENT-BIOFIELD-ROOT,prov:962869cd0277,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:962869cd0277,,unscored
NODE-008,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25346629_10155188222247913_2125987151_o.jpg,image,en,NODE-006;NODE-007;NODE-009;NODE-010,PARENT-BIOFIELD-ROOT,prov:d773f6cda808,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:d773f6cda808,,unscored
NODE-009,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/18718217_10155413068157848_71209152_n.jpg,image,en,NODE-007;NODE-008;NODE-010;NODE-011,PARENT-BIOFIELD-ROOT,prov:af8ede55de14,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:af8ede55de14,,unscored
NODE-010,bio_field_charts,"/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Biofield Anatomy 3, Eileen Mckusick.jpg",image,en,NODE-008;NODE-009;NODE-011;NODE-012,PARENT-BIOFIELD-ROOT,prov:ba96b1f339c9,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:ba96b1f339c9,,unscored
NODE-011,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Introducing The Biofield Viewer-page1.jpg,image,en,NODE-009;NODE-010;NODE-012;NODE-013,PARENT-BIOFIELD-ROOT,prov:36e086ee7472,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:36e086ee7472,,unscored
NODE-012,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25371043_10155189860807913_593137644_o.jpg,image,en,NODE-010;NODE-011;NODE-013;NODE-014,PARENT-BIOFIELD-ROOT,prov:575ae31d4811,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:575ae31d4811,,unscored
NODE-013,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25344752_10155188222172913_311737247_o.jpg,image,en,NODE-011;NODE-012;NODE-014;NODE-015,PARENT-BIOFIELD-ROOT,prov:78b926786bde,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:78b926786bde,,unscored
NODE-014,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/12440577_1774777246078915_5490769812823559389_o.jpg,image,en,NODE-012;NODE-013;NODE-015;NODE-016,PARENT-BIOFIELD-ROOT,prov:c17bf81167bf,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:c17bf81167bf,,unscored
NODE-015,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21390239_10154948169937913_1921212606_o.jpg,image,en,NODE-013;NODE-014;NODE-016;NODE-017,PARENT-BIOFIELD-ROOT,prov:94053ae055b5,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:94053ae055b5,,unscored
NODE-016,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146922_10203820293785893_331657195_o.jpg,image,en,NODE-014;NODE-015;NODE-017;NODE-018,PARENT-BIOFIELD-ROOT,prov:e2e4e9c28800,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:e2e4e9c28800,,unscored
NODE-017,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25370994_10155189860867913_1238043252_o.jpg,image,en,NODE-015;NODE-016;NODE-018;NODE-019,PARENT-BIOFIELD-ROOT,prov:32f08e66f85c,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:32f08e66f85c,,unscored
NODE-018,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25346344_10155188222837913_1298576434_o.jpg,image,en,NODE-016;NODE-017;NODE-019;NODE-020,PARENT-BIOFIELD-ROOT,prov:e0d607c3232f,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:e0d607c3232f,,unscored
NODE-019,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/16864485_1255373824516892_929464754599263898_n.jpg,image,en,NODE-017;NODE-018;NODE-020;NODE-021,PARENT-BIOFIELD-ROOT,prov:e968f74142bf,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:e968f74142bf,,unscored
NODE-020,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/20624399_10154871771292913_1933098926_n.jpg,image,en,NODE-018;NODE-019;NODE-021;NODE-022,PARENT-BIOFIELD-ROOT,prov:7a39179ed1ad,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:7a39179ed1ad,,unscored
NODE-021,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25397982_10155191902547913_1051989663_o.jpg,image,en,NODE-019;NODE-020;NODE-022;NODE-023,PARENT-BIOFIELD-ROOT,prov:f587fddfea92,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:f587fddfea92,,unscored
NODE-022,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/12033082_676938482406056_2173393825446135643_n.jpg,image,en,NODE-020;NODE-021;NODE-023;NODE-024,PARENT-BIOFIELD-ROOT,prov:9a8c9c72533e,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:9a8c9c72533e,,unscored
NODE-023,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/12963630_10153302478616841_2677942117444701816_n.jpg,image,en,NODE-021;NODE-022;NODE-024;NODE-025,PARENT-BIOFIELD-ROOT,prov:e9c07b702385,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:e9c07b702385,,unscored
NODE-024,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146939_10203820293745892_1849862203_o.jpg,image,en,NODE-022;NODE-023;NODE-025;NODE-026,PARENT-BIOFIELD-ROOT,prov:b0367f3c016b,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:b0367f3c016b,,unscored
NODE-025,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21268727_10154943498077913_1627040379_n.png,image,en,NODE-023;NODE-024;NODE-026;NODE-027,PARENT-BIOFIELD-ROOT,prov:372d3178fd17,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:372d3178fd17,,unscored
NODE-026,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Chakra21.jpg,image,en,NODE-024;NODE-025;NODE-027;NODE-028,PARENT-BIOFIELD-ROOT,prov:3e172836aa5a,,,,,,latin,global,false,true,noesis_research_corpus,2026-05-15T00:00:00Z,tbd-phase3,imgfp:3e172836aa5a,,unscored
