node_id,bucket_type,source_path,source_type,language_hint,expected_neighbors,expected_parent,provenance_ref,model_a_top10,model_b_top10,score_a,score_b,notes
NODE-001,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/IMG_2581.jpg,image,en,,,,,,,,
NODE-002,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21363458_10154948160327913_117575874_o.jpg,image,en,,,,,,,,
NODE-003,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25371019_10155189860952913_1561726014_o.jpg,image,en,,,,,,,,
NODE-004,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/11990533_413990388794138_2317091395093831501_n.jpg,image,en,,,,,,,,
NODE-005,bio_field_charts,"/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Biofield Anatomy, E McKusick.jpg",image,en,,,,,,,,
NODE-006,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/Screen Shot 2017-09-03 at 9.11.11 am.png,image,en,,,,,,,,
NODE-007,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146633_10203820293385883_1098728975_o-1.jpg,image,en,,,,,,,,
NODE-008,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25346629_10155188222247913_2125987151_o.jpg,image,en,,,,,,,,
NODE-009,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/18718217_10155413068157848_71209152_n.jpg,image,en,,,,,,,,
NODE-010,bio_field_charts,"/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Biofield Anatomy 3, Eileen Mckusick.jpg",image,en,,,,,,,,
NODE-011,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Introducing The Biofield Viewer-page1.jpg,image,en,,,,,,,,
NODE-012,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25371043_10155189860807913_593137644_o.jpg,image,en,,,,,,,,
NODE-013,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25344752_10155188222172913_311737247_o.jpg,image,en,,,,,,,,
NODE-014,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/12440577_1774777246078915_5490769812823559389_o.jpg,image,en,,,,,,,,
NODE-015,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21390239_10154948169937913_1921212606_o.jpg,image,en,,,,,,,,
NODE-016,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146922_10203820293785893_331657195_o.jpg,image,en,,,,,,,,
NODE-017,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25370994_10155189860867913_1238043252_o.jpg,image,en,,,,,,,,
NODE-018,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25346344_10155188222837913_1298576434_o.jpg,image,en,,,,,,,,
NODE-019,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/16864485_1255373824516892_929464754599263898_n.jpg,image,en,,,,,,,,
NODE-020,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/20624399_10154871771292913_1933098926_n.jpg,image,en,,,,,,,,
NODE-021,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/25397982_10155191902547913_1051989663_o.jpg,image,en,,,,,,,,
NODE-022,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/12033082_676938482406056_2173393825446135643_n.jpg,image,en,,,,,,,,
NODE-023,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/12963630_10153302478616841_2677942117444701816_n.jpg,image,en,,,,,,,,
NODE-024,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21146939_10203820293745892_1849862203_o.jpg,image,en,,,,,,,,
NODE-025,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21268727_10154943498077913_1627040379_n.png,image,en,,,,,,,,
NODE-026,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield interpretation maps/Chakra21.jpg,image,en,,,,,,,,
NODE-027,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/SES-infographic-subtleenergy-1.jpg,image,en,,,,,,,,
NODE-028,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/20624266_10154871766767913_572055730_n.jpg,image,en,,,,,,,,
NODE-029,bio_field_charts,/Users/sheshnarayaniyer/Documents/noesis/Research/ORIENTATION/Biofield Viewer Future Eliya/21363175_10154948161267913_1808121624_o.jpg,image,en,,,,,,,,
